tweet,timestamp,username
Lazada 12.12: Wujudkan Keinginanmu dengan Diskon Akhir Tahun Terlengkap di Hari Belanja Online Nasional (Harbolnas)… https://t.co/nIBiHIvApv,Fri Dec 06 23:29:59 +0000 2019,VaniaHanaku
Lazada 12.12: Wujudkan Keinginanmu dengan Diskon Akhir Tahun Terlengkap di Hari Belanja Online Nasional (Harbolnas)… https://t.co/FHFAP3OUz7,Fri Dec 06 23:29:04 +0000 2019,VaniaHanaku
"@dr_koko28 Tunggu 12.12 
Harbolnas",Fri Dec 06 23:14:51 +0000 2019,raniawahyudi
"RT @_pln_id: Hai Electrizen.

Sudah ganti bulan nih. Bagi pelanggan pasca bayar, saatnya bayar kewajiban loh.

Sengaja mimin ingetin jauh-j…",Fri Dec 06 23:14:11 +0000 2019,mas_indraa
@Yuliyanti021 12.12 kaka harbolnas 🤣,Fri Dec 06 22:56:42 +0000 2019,krgsswaf_
Siap-Siap! Lazada Bakal Hadirkan Voucher Belanja Rp12 Miliar di Harbolnas 12.12 https://t.co/b413O76G9w /via… https://t.co/vVNENDdgWA,Fri Dec 06 19:32:32 +0000 2019,cahgadget
Harbolnas 2019 : Lazada Sedia Reward Hingga Rp 12 Miliar https://t.co/qr6vkOSXp7 https://t.co/DjJouVbGsN,Fri Dec 06 19:14:03 +0000 2019,YoungsterID_
Siap-Siap! Lazada Bakal Hadirkan Voucher Belanja Rp12 Miliar di Harbolnas 12.12 https://t.co/VdTyoqn1OV,Fri Dec 06 19:00:25 +0000 2019,GizmologiID
Lazada 12.12: Wujudkan Keinginanmu dengan Diskon Akhir Tahun Terlengkap di Hari Belanja Online Nasional (Harbolnas)… https://t.co/MhiU3jjuPA,Fri Dec 06 18:46:17 +0000 2019,phrinses
"Lebih dari itu, di tahun 2015 pun kami meresmikan layanan kurir Lazada (Lazada Express) dengan  1 last mile hub dan… https://t.co/wxaUZK1g0k",Fri Dec 06 18:25:02 +0000 2019,mrbambang
